signal,frame_len,hop_ratio,window,zero_pad_factor,snr_db,fs,duration,hop,n_fft,signal_len,n_frames,mse,mae,frobenius,cosine,pearson,phase_mean,phase_std,energy_err_classical,energy_err_quantum,recon_rmse_classical,runtime_classical_s,runtime_quantum_s
sine,64,1.0,hamming,1,0.0,16000,0.5,64,64,8000,125,7.63845711360033e-31,5.85049370060986e-16,9.132548005350121e-14,1.0,0.9999999999999999,5.495603971894525e-18,5.813112251748827e-16,0.6166434892440696,0.6166434892440696,6.182034634124379e-16,2.9875023756176233e-05,0.0006962909828871489
sine,64,1.0,hamming,2,inf,16000,0.5,64,128,8000,125,5.5214072416703595e-31,4.175571428335564e-16,1.0716490966435616e-13,1.0000000000000002,0.9999999999999996,-1.0993983501350612e-16,2.8272278357172624e-14,0.6087093749999999,0.6087093749999999,2.6838233375710217e-16,4.7083012759685516e-05,0.0007556669879704714
sine,64,1.0,hamming,2,20.0,16000,0.5,64,128,8000,125,5.315508034075572e-31,4.1913496192638385e-16,1.0828081515503239e-13,0.9999999999999999,1.0,-1.657007864253046e-17,3.280852226056366e-15,0.6102120645512141,0.6102120645512141,2.705449064856337e-16,4.7708977945148945e-05,0.00075216602999717
sine,64,1.0,hamming,2,10.0,16000,0.5,64,128,8000,125,5.834210351138358e-31,4.523971529422216e-16,1.0968308718948368e-13,1.0,0.9999999999999999,1.50712775592865e-17,1.7357319650009807e-15,0.6131125250952704,0.6131125250952704,2.845443173761545e-16,4.654203075915575e-05,0.0007868750253692269
sine,64,1.0,hamming,2,0.0,16000,0.5,64,128,8000,125,9.728176506216452e-31,6.606425476118893e-16,1.432492425967386e-13,1.0000000000000002,0.9999999999999999,3.58046925441613e-18,5.020364184097359e-16,0.6166434892440695,0.6166434892440696,3.803667085848978e-16,5.183299072086811e-05,0.0007388749509118497
sine,64,1.0,blackman,1,inf,16000,0.5,64,64,8000,125,2.8510380403621417e-31,3.268105189762125e-16,5.849716470840319e-14,1.0,1.0,7.921624467499555e-14,1.0505018221585384e-11,0.7001593749999999,0.7001593749999999,0.1249999999999998,2.9125018045306206e-05,0.0006832919898442924
sine,64,1.0,blackman,1,20.0,16000,0.5,64,64,8000,125,3.2089433924429524e-31,3.437640743023229e-16,5.924489746796269e-14,1.0000000000000002,1.0,-1.0436096431476472e-17,3.036363894930175e-15,0.7013707856588025,0.7013707856588025,0.12532474561343407,3.0499999411404133e-05,0.0007132919854484499
sine,64,1.0,blackman,1,10.0,16000,0.5,64,64,8000,125,3.2383770433918593e-31,3.6077230138324874e-16,5.958453855652124e-14,1.0,1.0,-3.4416913763379853e-18,9.875809113450394e-16,0.7036946818192866,0.7036946818192865,0.1302399788260855,2.820900408551097e-05,0.0007027090177871287
sine,64,1.0,blackman,1,0.0,16000,0.5,64,64,8000,125,6.291447391303298e-31,5.349187550698041e-16,8.058363400372744e-14,1.0,1.0,2.831068712794149e-18,5.121649030724558e-16,0.7064520510563387,0.7064520510563386,0.1750949492974277,2.9624963644891977e-05,0.0006960000027902424
sine,64,1.0,blackman,2,inf,16000,0.5,64,128,8000,125,3.8743738843676056e-31,3.6889256343467e-16,9.362500022530226e-14,0.9999999999999998,1.0,5.810457670563096e-14,9.209022641529526e-12,0.7001593749999999,0.7001593749999999,0.1249999999999998,4.833302227780223e-05,0.0007320420118048787
sine,64,1.0,blackman,2,20.0,16000,0.5,64,128,8000,125,3.963850850149402e-31,3.7608723368728533e-16,9.317219907616011e-14,1.0000000000000002,1.0,-5.384581669432009e-18,3.8672904732588724e-15,0.7013707856588025,0.7013707856588025,0.12532474561343407,5.224999040365219e-05,0.0007788750226609409
sine,64,1.0,blackman,2,10.0,16000,0.5,64,128,8000,125,4.331443147262335e-31,4.09959455502395e-16,9.612273392574634e-14,0.9999999999999998,1.0,3.552713678800501e-18,1.1653480503552476e-15,0.7036946818192865,0.7036946818192865,0.1302399788260855,4.762498429045081e-05,0.0007428750395774841
sine,64,1.0,blackman,2,0.0,16000,0.5,64,128,8000,125,7.38897892190755e-31,5.88341153546319e-16,1.2444006589387279e-13,1.0,1.0,-3.0253577421035516e-18,5.411042676930321e-16,0.7064520510563386,0.7064520510563387,0.1750949492974277,4.8667017836123705e-05,0.0007551249582320452
sine,64,0.75,rect,1,inf,16000,0.5,48,64,8000,166,1.0122529064804268e-30,5.72266399156806e-16,1.2058030653558242e-13,0.9999999999999998,0.9999999999999998,1.0951748209781289e-17,3.82151047390713e-15,0.32746244602372343,0.32746244602372343,0.0336309518127279,3.204098902642727e-05,0.0009267500136047602
sine,64,0.75,rect,1,20.0,16000,0.5,48,64,8000,166,9.838358190875828e-31,5.723531843156428e-16,1.2240038769407956e-13,1.0,1.0,1.5048203647027724e-18,2.4937694071982004e-15,0.32782277930244147,0.32782277930244147,0.033933724218836725,3.087497316300869e-05,0.0011102089774794877
sine,64,0.75,rect,1,10.0,16000,0.5,48,64,8000,166,1.0897137954742035e-30,6.256107788776899e-16,1.262789284620852e-13,1.0000000000000002,0.9999999999999998,-4.514461094108317e-18,7.846311577541334e-16,0.3291865784004177,0.3291865784004177,0.035263288230288015,3.08750313706696e-05,0.0009550830000080168
sine,64,0.75,rect,1,0.0,16000,0.5,48,64,8000,166,2.0244569067308267e-30,9.576597771773943e-16,1.7056133638620862e-13,1.0,0.9999999999999998,-4.1800565686188125e-20,9.422426529561803e-16,0.3341872467063745,0.3341872467063745,0.04432102958683701,3.024999750778079e-05,0.0010168750304728746
sine,64,0.75,rect,2,inf,16000,0.5,48,128,8000,166,1.1881588057506749e-30,6.392637253614814e-16,1.8826237881814207e-13,1.0,1.0,9.091623036745917e-18,3.672152414375552e-15,0.32746244602372315,0.32746244602372315,0.0336309518127279,5.629198858514428e-05,0.0010127080022357404
sine,64,0.75,rect,2,20.0,16000,0.5,48,128,8000,166,1.2452297864934139e-30,6.512186871477312e-16,1.9319150857961994e-13,1.0,1.0,5.831178913223243e-18,2.2664544175015323e-15,0.32782277930244147,0.32782277930244147,0.033933724218836725,7.483299123123288e-05,0.0011134169762954116
sine,64,0.75,rect,2,10.0,16000,0.5,48,128,8000,166,1.3474295628788561e-30,7.057543013489417e-16,2.0004742879724573e-13,1.0,1.0,-1.2205765180366931e-17,9.43158056368297e-16,0.3291865784004177,0.3291865784004177,0.035263288230288015,5.8333040215075016e-05,0.0011195840197615325
sine,64,0.75,rect,2,0.0,16000,0.5,48,128,8000,166,2.513211971301978e-30,1.072732978991897e-15,2.6749602657436447e-13,1.0000000000000002,0.9999999999999998,1.3167178191149259e-18,7.594386038844645e-16,0.3341872467063745,0.3341872467063745,0.04432102958683701,5.9833982959389687e-05,0.0010844589560292661
sine,64,0.75,hann,1,inf,16000,0.5,48,64,8000,166,3.3955100761543326e-31,3.5423630939672635e-16,7.348042107386728e-14,1.0,1.0,3.7606296925236005e-14,4.260055415911297e-12,0.5097903179906613,0.5097903179906613,0.03370728787257695,3.38749960064888e-05,0.0009015420218929648
sine,64,0.75,hann,1,20.0,16000,0.5,48,64,8000,166,4.0780370397137745e-31,3.7781482116326064e-16,7.620741394609844e-14,1.0,1.0,-3.0430811819544956e-17,3.088657646054852e-15,0.5094424127351214,0.5094424127351214,0.033964998922689636,3.6999990697950125e-05,0.0009264170075766742
sine,64,0.75,hann,1,10.0,16000,0.5,48,64,8000,166,4.251151030919747e-31,4.0479488198698894e-16,7.905607281659166e-14,1.0000000000000002,1.0,9.614130107823268e-19,1.0596017661967035e-15,0.5091331339176515,0.5091331339176516,0.03558791239567376,3.312499029561877e-05,0.0009958329610526562
sine,64,0.75,hann,1,0.0,16000,0.5,48,64,8000,166,7.769633445066108e-31,5.881094666857102e-16,1.0352657839162169e-13,1.0000000000000002,1.0,-3.3440452548950498e-18,5.167938214510171e-16,0.5105672585521346,0.5105672585521346,0.04795798522890013,3.549997927621007e-05,0.001044958014972508
sine,64,0.75,hann,2,inf,16000,0.5,48,128,8000,166,4.2267843999085845e-31,3.932669521820036e-16,1.1404649359219977e-13,1.0000000000000002,1.0,1.8032220629667636e-14,3.68152767410717e-12,0.5097903179906612,0.5097903179906613,0.03370728787257695,6.258394569158554e-05,0.0011758339824154973
sine,64,0.75,hann,2,20.0,16000,0.5,48,128,8000,166,4.72049962803131e-31,4.089838170937296e-16,1.1745330016970017e-13,1.0000000000000002,0.9999999999999999,-4.9052963832741765e-17,3.1835124616363916e-15,0.5094424127351214,0.5094424127351215,0.033964998922689636,7.658300455659628e-05,0.001022125012241304
sine,64,0.75,hann,2,10.0,16000,0.5,48,128,8000,166,5.099651410774708e-31,4.4014901668376024e-16,1.2165141933807665e-13,0.9999999999999998,1.0,2.2572305470541586e-18,1.1259022678239333e-15,0.5091331339176515,0.5091331339176515,0.03558791239567376,7.254100637510419e-05,0.0010533329914323986
sine,64,0.75,hann,2,0.0,16000,0.5,48,128,8000,166,8.992831877584456e-31,6.397761088580566e-16,1.5911921618238767e-13,0.9999999999999999,1.0,-1.8392248901922775e-18,5.059474992809734e-16,0.5105672585521346,0.5105672585521348,0.04795798522890013,7.30830361135304e-05,0.0010321659501641989
sine,64,0.75,hamming,1,inf,16000,0.5,48,64,8000,166,4.7247004923698756e-31,3.9403654303523613e-16,8.088113402330524e-14,1.0,1.0,-1.0826346512722724e-17,2.867506229677515e-14,0.48037360342976865,0.48037360342976865,0.0336309518127279,3.370799822732806e-05,0.0008969170157797635
sine,64,0.75,hamming,1,20.0,16000,0.5,48,64,8000,166,4.72548968803082e-31,3.890066777005479e-16,7.966031595173021e-14,1.0,1.0,-5.392272973518268e-18,3.05537255068275e-15,0.48005673723307585,0.48005673723307585,0.033933724218836725,3.529200330376625e-05,0.0010144590050913393
sine,64,0.75,hamming,1,10.0,16000,0.5,48,64,8000,166,4.7816720708849665e-31,4.1359063539473733e-16,8.173987230990503e-14,1.0000000000000004,1.0,1.5299007041144852e-17,1.0776885589618125e-15,0.4797911076722271,0.4797911076722271,0.035263288230288015,6.766599835827947e-05,0.0009648749837651849
sine,64,0.75,hamming,1,0.0,16000,0.5,48,64,8000,166,7.6706739092989645e-31,5.859833527568045e-16,1.0465582434721598e-13,0.9999999999999998,1.0,2.6334356382298517e-18,4.868534818842498e-16,0.4811970871240147,0.4811970871240147,0.04432102958683701,3.4750031773000956e-05,0.0011103749857284129
sine,64,0.75,hamming,2,inf,16000,0.5,48,128,8000,166,5.563816012938942e-31,4.210219003661889e-16,1.2377071511732148e-13,1.0000000000000002,1.0,-1.1129400613947588e-16,2.8476015671876083e-14,0.48037360342976865,0.48037360342976865,0.0336309518127279,6.550003308802843e-05,0.0010690829949453473
sine,64,0.75,hamming,2,20.0,16000,0.5,48,128,8000,166,5.494136531166257e-31,4.229657593384076e-16,1.2385768993937695e-13,1.0,1.0,1.0680044532821066e-17,3.207146782755834e-15,0.48005673723307585,0.48005673723307585,0.033933724218836725,6.074999691918492e-05,0.0011430419981479645
sine,64,0.75,hamming,2,10.0,16000,0.5,48,128,8000,166,5.411360134116575e-31,4.4224149421996535e-16,1.2610773875647913e-13,1.0000000000000002,1.0,5.35047240783208e-18,1.1704338969183425e-15,0.4797911076722271,0.4797911076722271,0.035263288230288015,6.441702134907246e-05,0.0009354170178994536
sine,64,0.75,hamming,2,0.0,16000,0.5,48,128,8000,166,9.290762185518987e-31,6.479238718559392e-16,1.637552061752963e-13,1.0,1.0,-1.379418667644208e-18,5.37715716521981e-16,0.4811970871240147,0.4811970871240147,0.04432102958683701,6.9500005338341e-05,0.0009630409767851233
sine,64,0.75,blackman,1,inf,16000,0.5,48,64,8000,166,2.7477195758156647e-31,3.2119284782171935e-16,6.656210767681719e-14,1.0,0.9999999999999999,1.2386485746054598e-13,1.0576937244294021e-11,0.6017699175771295,0.6017699175771295,0.03370728787257695,3.483297768980265e-05,0.0009554999996908009
sine,64,0.75,blackman,1,20.0,16000,0.5,48,64,8000,166,3.102344340333247e-31,3.4435019859613197e-16,6.74155351328018e-14,1.0000000000000002,0.9999999999999999,-2.2321502076424458e-17,3.4890163824624087e-15,0.601212632835713,0.601212632835713,0.033964998922689636,3.454199759289622e-05,0.0009735830244608223
sine,64,0.75,blackman,1,10.0,16000,0.5,48,64,8000,166,3.048396244933921e-31,3.5498143819716035e-16,6.81188208807301e-14,1.0,1.0,1.3919588373500645e-17,1.0089858115204663e-15,0.600486456735442,0.600486456735442,0.03558791239567376,4.1457999031990767e-05,0.000917874975129962
sine,64,0.75,blackman,1,0.0,16000,0.5,48,64,8000,166,6.1594186615743175e-31,5.350939143396449e-16,9.262371481368623e-14,0.9999999999999999,0.9999999999999999,5.8938797617525254e-18,5.262217663582454e-16,0.6013492923146336,0.6013492923146336,0.04795798522890013,3.912497777491808e-05,0.0009490000084042549
sine,64,0.75,blackman,2,inf,16000,0.5,48,128,8000,166,3.7618089566879595e-31,3.6302347524457394e-16,1.0673967782640361e-13,1.0,1.0,3.032969625115006e-14,9.365114457242022e-12,0.6017699175771295,0.6017699175771295,0.03370728787257695,5.970901111140847e-05,0.0010603329865261912
sine,64,0.75,blackman,2,20.0,16000,0.5,48,128,8000,166,3.9141302228390943e-31,3.7975638188889267e-16,1.0710110040004532e-13,1.0,1.0,-2.0649479448976934e-17,4.075866988412803e-15,0.601212632835713,0.601212632835713,0.033964998922689636,7.40840332582593e-05,0.0010324169998057187
sine,64,0.75,blackman,2,10.0,16000,0.5,48,128,8000,166,4.209379351470114e-31,4.033899974778899e-16,1.0986464268575515e-13,1.0,1.0,1.5612511283791264e-17,1.5264707396539843e-15,0.600486456735442,0.600486456735442,0.03558791239567376,7.529096910730004e-05,0.0011240419698879123
sine,64,0.75,blackman,2,0.0,16000,0.5,48,128,8000,166,7.349313138897838e-31,5.847423857064754e-16,1.4386931716986423e-13,1.0,1.0,6.708990792633194e-18,5.657617107538503e-16,0.6013492923146336,0.6013492923146336,0.04795798522890013,6.366701563820243e-05,0.001129666983615607
sine,64,0.5,rect,1,inf,16000,0.5,32,64,8000,249,9.608900397955059e-31,5.640942797095164e-16,1.4663832025181457e-13,1.0,0.9999999999999998,1.2818840143764357e-18,3.4627267013893343e-15,0.9912851955861979,0.9912851955861979,8.909929290984465e-17,4.033296136185527e-05,0.0015745830023661256
sine,64,0.5,rect,1,20.0,16000,0.5,32,64,8000,249,9.68265929836462e-31,5.699559654157958e-16,1.5023902779714577e-13,0.9999999999999999,1.0,2.368698722217327e-18,2.5304036494812147e-15,0.9913975143003518,0.9913975143003518,9.140206850643204e-17,4.037498729303479e-05,0.0015867920010350645
sine,64,0.5,rect,1,10.0,16000,0.5,32,64,8000,249,1.1566838140500697e-30,6.404660903309783e-16,1.5622538156330119e-13,1.0,1.0,4.709530400643862e-18,1.266959159916154e-15,0.9916266204375828,0.9916266204375828,9.86490870847824e-17,5.3875031881034374e-05,0.0015012910007499158
sine,64,0.5,rect,1,0.0,16000,0.5,32,64,8000,249,1.9962014797650826e-30,9.419525070591504e-16,2.0595858391354338e-13,1.0,1.0,6.409420071882179e-19,4.98136333224044e-16,0.9919670647370302,0.9919670647370302,1.4411769145542735e-16,4.3042004108428955e-05,0.0014797080075368285
sine,64,0.5,rect,2,inf,16000,0.5,32,128,8000,249,1.2475492366580215e-30,6.500155601887557e-16,2.352680729323851e-13,1.0,0.9999999999999998,-1.1885294176772823e-17,3.595300675213542e-15,0.9912851955861979,0.9912851955861977,8.176775126457336e-17,8.249998791143298e-05,0.0017082500271499157
sine,64,0.5,rect,2,20.0,16000,0.5,32,128,8000,249,1.1848958051437785e-30,6.451684430628723e-16,2.3396421678705467e-13,1.0000000000000002,1.0,-4.75133096633005e-18,2.4311011239784762e-15,0.9913975143003518,0.9913975143003518,8.644086863887311e-17,8.854200132191181e-05,0.0017137090326286852
sine,64,0.5,rect,2,10.0,16000,0.5,32,128,8000,249,1.4459478973904409e-30,7.238625799039934e-16,2.507096157969684e-13,1.0,1.0,-3.469446951953614e-18,1.2225798212431532e-15,0.9916266204375823,0.9916266204375823,9.35456002545517e-17,8.241704199463129e-05,0.0015281250234693289
sine,64,0.5,rect,2,0.0,16000,0.5,32,128,8000,249,2.493829458546618e-30,1.064712794803869e-15,3.2675621053917643e-13,1.0,1.0,-3.037507773196337e-18,9.184773730829374e-16,0.9919670647370302,0.9919670647370302,1.2364756563302628e-16,0.00010808301158249378,0.001524207997135818
sine,64,0.5,hann,1,inf,16000,0.5,32,64,8000,249,3.734779563628404e-31,3.6348832194367574e-16,9.206945915741748e-14,1.0,0.9999999999999996,-7.874223361701373e-15,4.1437182135702475e-12,0.2646839330258636,0.2646839330258636,0.0019222257776761447,7.483403896912932e-05,0.0016083329683169723
sine,64,0.5,hann,1,20.0,16000,0.5,32,64,8000,249,3.8812853870257446e-31,3.717180889167263e-16,9.299261662250459e-14,1.0000000000000002,1.0,-4.171696455481575e-17,3.1256253944093865e-15,0.2643900610698967,0.2643900610698967,0.0018911587303059277,4.3707957956939936e-05,0.0015497500426135957
sine,64,0.5,hann,1,10.0,16000,0.5,32,64,8000,249,4.110099096968297e-31,4.001596455605139e-16,9.53251156585667e-14,1.0,1.0,-3.2883111673134657e-18,1.1763976352835894e-15,0.26387756623236047,0.26387756623236047,0.004019407506133343,5.9416983276605606e-05,0.0015122080221772194
sine,64,0.5,hann,1,0.0,16000,0.5,32,64,8000,249,7.603276499294079e-31,5.858402075904572e-16,1.2740691072072548e-13,1.0,1.0,1.699889671238317e-18,5.011062127828355e-16,0.26352723291766217,0.26352723291766217,0.013093980060120877,4.316598642617464e-05,0.0015285410336218774
sine,64,0.5,hann,2,inf,16000,0.5,32,128,8000,249,4.499067991961804e-31,3.9741810022664423e-16,1.4209553259643856e-13,1.0000000000000002,0.9999999999999999,2.6392041162945456e-15,3.6556047440147346e-12,0.2646839330258636,0.2646839330258636,0.0019222257776761447,8.412497118115425e-05,0.0015241249930113554
sine,64,0.5,hann,2,20.0,16000,0.5,32,128,8000,249,4.717009742478879e-31,4.080803629076674e-16,1.443943386836702e-13,1.0,1.0,-2.7546572787197973e-17,3.8677448748123094e-15,0.2643900610698967,0.2643900610698967,0.0018911587303059277,0.00012212496949359775,0.001551042019855231
sine,64,0.5,hann,2,10.0,16000,0.5,32,128,8000,249,5.195601516717789e-31,4.43630818750832e-16,1.4980928933960903e-13,1.0,1.0,-4.333325309468169e-18,1.1860877742421842e-15,0.26387756623236047,0.26387756623236047,0.004019407506133343,8.949998300522566e-05,0.0014344999799504876
sine,64,0.5,hann,2,0.0,16000,0.5,32,128,8000,249,8.885862864393006e-31,6.418093961401162e-16,1.9558928501774866e-13,1.0,0.9999999999999999,4.068588393455644e-18,5.020178599534867e-16,0.26352723291766217,0.26352723291766217,0.013093980060120877,0.00010891701094806194,0.001723291992675513
sine,64,0.5,hamming,1,inf,16000,0.5,32,64,8000,249,4.561251013941601e-31,3.8734730954122804e-16,9.689186155756838e-14,0.9999999999999999,1.0,9.64199715161406e-18,2.8075978224424885e-14,0.2205591190610178,0.2205591190610178,1.2348841410367336e-16,4.616699879989028e-05,0.001639583962969482
sine,64,0.5,hamming,1,20.0,16000,0.5,32,64,8000,249,4.496217189200712e-31,3.8684047087880555e-16,9.807664799551823e-14,0.9999999999999997,0.9999999999999999,4.932466750970198e-18,3.594958079607382e-15,0.22030818336316416,0.22030818336316427,1.3031961946853401e-16,4.316697595641017e-05,0.0014970420161262155
sine,64,0.5,hamming,1,10.0,16000,0.5,32,64,8000,249,4.830045263085002e-31,4.1440531100305875e-16,1.0004515507969808e-13,1.0,0.9999999999999999,-8.3601131372376245e-19,1.9997941363606692e-15,0.21987790353274814,0.21987790353274814,1.3233156581365e-16,4.570803139358759e-05,0.00145575002534315
sine,64,0.5,hamming,1,0.0,16000,0.5,32,64,8000,249,7.800438017592904e-31,5.925014651850347e-16,1.2960099964063599e-13,1.0,1.0,3.371912298685842e-18,5.747620031511792e-16,0.21962435981502276,0.21962435981502276,1.8290539780286304e-16,4.4707965571433306e-05,0.0014460839447565377
sine,64,0.5,hamming,2,inf,16000,0.5,32,128,8000,249,5.703162403083684e-31,4.2116776352179256e-16,1.5186714544388783e-13,0.9999999999999999,1.0,6.29795189671901e-17,2.7594073805575846e-14,0.2205591190610177,0.2205591190610178,1.1475834043022442e-16,8.408300345763564e-05,0.001582500000949949
sine,64,0.5,hamming,2,20.0,16000,0.5,32,128,8000,249,5.396438312790912e-31,4.185819216103299e-16,1.5138287528225375e-13,0.9999999999999999,1.0,-1.5856347916960695e-17,3.6003546256871075e-15,0.22030818336316416,0.22030818336316427,1.1630921423851006e-16,9.658402996137738e-05,0.0015813750214874744
sine,64,0.5,hamming,2,10.0,16000,0.5,32,128,8000,249,5.653097219923422e-31,4.511967347469871e-16,1.5517449670056206e-13,1.0,1.0,3.427646386267426e-18,1.6463211835536475e-15,0.21987790353274814,0.21987790353274825,1.2355192403557717e-16,9.229202987626195e-05,0.0017525830189697444
