snr_db,mse,cosine
1000000000.0,1.7010132931842673e-30,0.9999999999999999
30.0,2.095387847951896e-30,1.0
20.0,2.028105439287269e-30,1.0
10.0,2.1663784673740304e-30,1.0000000000000002
5.0,2.4804999148252857e-30,0.9999999999999999
0.0,3.946185101237904e-30,1.0
-5.0,8.252075198410183e-30,1.0
