frame_len,window,signal,method,runtime_s
64,blackman,sine,classical,0.00011537497630342841
64,blackman,sine,classical,0.00016416702419519424
64,blackman,sine,classical,0.00014562503201887012
64,blackman,sine,classical,0.00014637497952207923
64,blackman,sine,classical,0.00016300001880154014
128,rect,sine,classical,2.7708010748028755e-05
128,rect,sine,classical,3.258301876485348e-05
128,rect,sine,classical,2.8875016141682863e-05
128,rect,sine,classical,3.5792007111012936e-05
128,rect,sine,classical,4.679197445511818e-05
128,rect,sine,classical,5.4582953453063965e-05
128,rect,sine,classical,4.600000102072954e-05
128,rect,sine,classical,5.058397073298693e-05
128,hann,sine,classical,3.0124967452138662e-05
128,hann,sine,classical,3.037502756342292e-05
128,hann,sine,classical,3.7334044463932514e-05
128,hann,sine,classical,3.637495683506131e-05
128,hann,sine,classical,4.941702354699373e-05
128,hann,sine,classical,7.870799163356423e-05
128,hann,sine,classical,4.737498238682747e-05
128,hann,sine,classical,5.770899588242173e-05
128,hamming,sine,classical,3.041699528694153e-05
128,hamming,sine,classical,3.7999998312443495e-05
128,hamming,sine,classical,3.708299482241273e-05
128,hamming,sine,classical,3.483297768980265e-05
128,hamming,sine,classical,5.05829812027514e-05
128,hamming,sine,classical,6.437499541789293e-05
128,hamming,sine,classical,5.9041951317340136e-05
128,hamming,sine,classical,5.7375000324100256e-05
128,blackman,sine,classical,3.270898014307022e-05
128,blackman,sine,classical,3.0333001632243395e-05
128,blackman,sine,classical,3.2625044696033e-05
128,blackman,sine,classical,3.15000070258975e-05
128,blackman,sine,classical,6.504094926640391e-05
128,blackman,sine,classical,6.474996916949749e-05
128,blackman,sine,classical,5.9917045291513205e-05
128,blackman,sine,classical,5.987501936033368e-05
128,rect,sine,classical,3.6416982766240835e-05
128,rect,sine,classical,3.854196984320879e-05
128,rect,sine,classical,3.38749960064888e-05
128,rect,sine,classical,4.0584011003375053e-05
128,rect,sine,classical,7.920805364847183e-05
128,rect,sine,classical,7.204199209809303e-05
128,rect,sine,classical,5.7917030062526464e-05
128,rect,sine,classical,6.958399899303913e-05
128,hann,sine,classical,3.7624966353178024e-05
128,hann,sine,classical,4.7874986194074154e-05
128,hann,sine,classical,3.7041958421468735e-05
128,hann,sine,classical,4.658300895243883e-05
128,hann,sine,classical,9.312498150393367e-05
128,hann,sine,classical,7.520802319049835e-05
128,hann,sine,classical,7.199996616691351e-05
128,hann,sine,classical,6.275001214817166e-05
128,hamming,sine,classical,5.9999991208314896e-05
128,hamming,sine,classical,4.487502155825496e-05
128,hamming,sine,classical,3.724999260157347e-05
128,hamming,sine,classical,3.56250093318522e-05
128,hamming,sine,classical,6.84579717926681e-05
128,hamming,sine,classical,6.583298090845346e-05
128,hamming,sine,classical,5.841703386977315e-05
128,hamming,sine,classical,8.537498069927096e-05
128,blackman,sine,classical,4.0417013224214315e-05
128,blackman,sine,classical,3.733299672603607e-05
128,blackman,sine,classical,3.950000973418355e-05
128,blackman,sine,classical,4.879198968410492e-05
128,blackman,sine,classical,6.208400009199977e-05
128,blackman,sine,classical,7.050001295283437e-05
128,blackman,sine,classical,6.320897955447435e-05
128,blackman,sine,classical,6.083300104364753e-05
128,rect,sine,classical,4.616595106199384e-05
128,rect,sine,classical,4.720798460766673e-05
128,rect,sine,classical,5.624996265396476e-05
128,rect,sine,classical,4.8290996346622705e-05
128,rect,sine,classical,9.191699791699648e-05
128,rect,sine,classical,7.695896783843637e-05
128,rect,sine,classical,7.858301978558302e-05
128,rect,sine,classical,8.795905159786344e-05
128,hann,sine,classical,4.737498238682747e-05
128,hann,sine,classical,4.824995994567871e-05
128,hann,sine,classical,7.337500574067235e-05
128,hann,sine,classical,6.24579843133688e-05
128,hann,sine,classical,7.929198909550905e-05
128,hann,sine,classical,9.712495375424623e-05
128,hann,sine,classical,0.0001978750224225223
128,hann,sine,classical,0.00017312500858679414
128,hamming,sine,classical,5.420896923169494e-05
128,hamming,sine,classical,6.054196273908019e-05
128,hamming,sine,classical,4.7083012759685516e-05
128,hamming,sine,classical,0.00033408403396606445
128,hamming,sine,classical,9.837502148002386e-05
128,hamming,sine,classical,8.662504842504859e-05
128,hamming,sine,classical,0.0001022910000756383
128,hamming,sine,classical,8.49170028232038e-05
128,blackman,sine,classical,5.6999968364834785e-05
128,blackman,sine,classical,5.154201062396169e-05
128,blackman,sine,classical,4.945899127051234e-05
128,blackman,sine,classical,5.70000265724957e-05
128,blackman,sine,classical,8.391699520871043e-05
128,blackman,sine,classical,9.616697207093239e-05
